Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX (moveLeft objX))"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX (moveUp objX))"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX (moveRight objX))"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX (moveUp objX))"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX (moveRight objX))"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX objX)"]|Any["(= objX objX)"]
Any[""]|Any[""]|Any[""]|Any[""]|Any["(= addedObjType1List (addObj addedObjType1List (map (--> pos (ObjType1  \"red\"  pos)) (randomPositions GRID_SIZE 1))))", "(= addedObjType1List (addObj addedObjType1List (ObjType1  \"red\"  (Position 98 100))))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]
Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any["(= addedObjType1List (addObj addedObjType1List (map (--> pos (ObjType1  \"red\"  pos)) (randomPositions GRID_SIZE 1))))", "(= addedObjType1List (addObj addedObjType1List (ObjType1  \"red\"  (Position 99 98))))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]
Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any["(= addedObjType1List (addObj addedObjType1List (map (--> pos (ObjType1  \"red\"  pos)) (randomPositions GRID_SIZE 1))))", "(= addedObjType1List (addObj addedObjType1List (ObjType1  \"red\"  (Position 101 99))))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]
Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any["(= addedObjType1List (addObj addedObjType1List (map (--> pos (ObjType1  \"red\"  pos)) (randomPositions GRID_SIZE 1))))", "(= addedObjType1List (addObj addedObjType1List (ObjType1  \"red\"  (Position 100 101))))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]
Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any["(= addedObjType1List (addObj addedObjType1List (map (--> pos (ObjType1  \"red\"  pos)) (randomPositions GRID_SIZE 1))))", "(= addedObjType1List (addObj addedObjType1List (ObjType1  \"red\"  (Position 100 106))))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]
Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any["(= addedObjType1List (addObj addedObjType1List (map (--> pos (ObjType1  \"red\"  pos)) (randomPositions GRID_SIZE 1))))", "(= addedObjType1List (addObj addedObjType1List (ObjType1  \"red\"  (Position 95 105))))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]|Any["(= objX (moveLeft objX))"]
Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any["(= addedObjType1List (addObj addedObjType1List (map (--> pos (ObjType1  \"red\"  pos)) (randomPositions GRID_SIZE 1))))", "(= addedObjType1List (addObj addedObjType1List (ObjType1  \"red\"  (Position 96 103))))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]|Any["(= objX (moveUp objX))"]
Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any["(= addedObjType1List (addObj addedObjType1List (map (--> pos (ObjType1  \"red\"  pos)) (randomPositions GRID_SIZE 1))))", "(= addedObjType1List (addObj addedObjType1List (ObjType1  \"red\"  (Position 98 104))))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]|Any["(= objX (moveRight objX))"]
Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any["(= addedObjType1List (addObj addedObjType1List (map (--> pos (ObjType1  \"red\"  pos)) (randomPositions GRID_SIZE 1))))", "(= addedObjType1List (addObj addedObjType1List (ObjType1  \"red\"  (Position 97 106))))"]|Any["(= objX (nextLiquid objX))", "(= objX (moveDown objX))"]
